# Flame transfer function of the TUM BRS burner, digitized from Fig. 2 of
# T. Emmert, S. Bomberg, S. Jaensch and W. Polifke, "Acoustic and intrinsic thermoacoustic
# modes of a premixed combustor", Proc. Combust. Inst. 36 (2017) 3835-3842,
# doi:10.1016/j.proci.2016.08.002.  The figure is an embedded 680x407 raster; the two
# curves were traced by their ink centroid, the axes calibrated from the frame lines and
# tick marks, and the samples binned to 5 Hz and interpolated onto this 2 Hz grid.
# One pixel is 0.0126 in gain and 0.1345 rad in phase; that sets the accuracy.
# The phase tick labels of the published figure run -6pi, -4pi, -2pi from top to bottom,
# which reverses the axis; they are read the other way here, the only assignment for
# which the zero-frequency phase vanishes as a flame response must.
# 
# frequency_hz,gain,phase_rad
0.0000,1.17890,0.00000
2.0000,1.17971,-0.12892
4.0000,1.18044,-0.24340
6.0000,1.18109,-0.34136
8.0000,1.18356,-0.42073
10.0000,1.19155,-0.47941
12.0000,1.20243,-0.51532
14.0000,1.21482,-0.52686
16.0000,1.23096,-0.52843
18.0000,1.24609,-0.53246
20.0000,1.25815,-0.59216
22.0000,1.27067,-0.67814
24.0000,1.28790,-0.72388
26.0000,1.30973,-0.74714
28.0000,1.33016,-0.77475
30.0000,1.34718,-0.81591
32.0000,1.36455,-0.85811
34.0000,1.38615,-0.89700
36.0000,1.41118,-0.93819
38.0000,1.43422,-0.98853
40.0000,1.45394,-1.06750
42.0000,1.47334,-1.14623
44.0000,1.49482,-1.18165
46.0000,1.51749,-1.19098
48.0000,1.53904,-1.20970
50.0000,1.55905,-1.29309
52.0000,1.57858,-1.39703
54.0000,1.59832,-1.45664
56.0000,1.61798,-1.49598
58.0000,1.63717,-1.54068
60.0000,1.65648,-1.58806
62.0000,1.67419,-1.64184
64.0000,1.68845,-1.70761
66.0000,1.70085,-1.78226
68.0000,1.71418,-1.85782
70.0000,1.72988,-1.94049
72.0000,1.74327,-2.01705
74.0000,1.75122,-2.06243
76.0000,1.75717,-2.09495
78.0000,1.76344,-2.15288
80.0000,1.77093,-2.23322
82.0000,1.77320,-2.31135
84.0000,1.77315,-2.38150
86.0000,1.77305,-2.44954
88.0000,1.77292,-2.51431
90.0000,1.77273,-2.57335
92.0000,1.77234,-2.63051
94.0000,1.76715,-2.69427
96.0000,1.75516,-2.76272
98.0000,1.74422,-2.82997
100.0000,1.73639,-2.89655
102.0000,1.72768,-2.96459
104.0000,1.71340,-3.03467
106.0000,1.69265,-3.10653
108.0000,1.67329,-3.18165
110.0000,1.65740,-3.26978
112.0000,1.64117,-3.35266
114.0000,1.62153,-3.39914
116.0000,1.59914,-3.43341
118.0000,1.57680,-3.48682
120.0000,1.55513,-3.55854
122.0000,1.53291,-3.63363
124.0000,1.50902,-3.70980
126.0000,1.48392,-3.78763
128.0000,1.45977,-3.85536
130.0000,1.43712,-3.90677
132.0000,1.41450,-3.95553
134.0000,1.39075,-4.01594
136.0000,1.36638,-4.08317
138.0000,1.34213,-4.15001
140.0000,1.31796,-4.21769
142.0000,1.29410,-4.28689
144.0000,1.27082,-4.36662
146.0000,1.24802,-4.45337
148.0000,1.22592,-4.51099
150.0000,1.20480,-4.52677
152.0000,1.18360,-4.54204
154.0000,1.16126,-4.60727
156.0000,1.13840,-4.70607
158.0000,1.11624,-4.78912
160.0000,1.09476,-4.87379
162.0000,1.07370,-4.94304
164.0000,1.05297,-4.96456
166.0000,1.03261,-4.96456
168.0000,1.01272,-4.98525
170.0000,0.99345,-5.07664
172.0000,0.97442,-5.18103
174.0000,0.95527,-5.26672
176.0000,0.93609,-5.35301
178.0000,0.91627,-5.43295
180.0000,0.89525,-5.51700
182.0000,0.87412,-5.59602
184.0000,0.85433,-5.62944
186.0000,0.83531,-5.62944
188.0000,0.81473,-5.65356
190.0000,0.79095,-5.74629
192.0000,0.76730,-5.84943
194.0000,0.74747,-5.93787
196.0000,0.72964,-6.02804
198.0000,0.70984,-6.11329
200.0000,0.68647,-6.20930
202.0000,0.66262,-6.28254
204.0000,0.64110,-6.29642
