# Published eigenvalues of the BRS combustor network model.
# Source: T. Emmert, "Intrinsic Thermoacoustic Feedback of Premixed Flames" (Dr.-Ing.
# dissertation, TU Muenchen), Figure 4.5, the one-to-one counterpart of Figure 5
# of Emmert, Bomberg, Jaensch & Polifke, Proc. Combust. Inst. 36 (2017) 3835-3842.
# The dissertation figure is vector graphics; coordinates are read from the drawing
# commands with the axis gridlines as calibration (residual < 0.01 Hz), so unlike a
# raster digitization the values carry no pixel quantization.
# Growth rate follows the reference's convention sigma/(2*pi) with s = sigma + j*omega.
# 'sweep' points sample the three eigenvalue trajectories as the modulation
# parameter mu of the reference's Eq. (18) is varied from 0 to 1.
kind,growth_hz,frequency_hz
acoustic-at-mu-0,-0.44,54.50
acoustic-at-mu-0,2.75,320.51
ita-at-mu-0,-21.80,106.22
full-at-mu-1,-8.16,42.41
full-at-mu-1,-6.34,315.58
full-at-mu-1,-2.02,111.03
sweep,-8.10,42.41
sweep,-7.95,42.92
sweep,-7.79,43.42
sweep,-7.62,43.91
sweep,-7.45,44.39
sweep,-7.28,44.87
sweep,-7.10,45.33
sweep,-6.92,45.78
sweep,-6.73,46.23
sweep,-6.53,46.66
sweep,-6.33,47.08
sweep,-6.13,47.50
sweep,-5.93,47.90
sweep,-5.72,48.29
sweep,-5.51,48.66
sweep,-5.30,49.02
sweep,-5.09,49.38
sweep,-4.88,49.72
sweep,-4.67,50.04
sweep,-4.45,50.36
sweep,-4.24,50.66
sweep,-4.03,50.95
sweep,-3.82,51.23
sweep,-3.62,51.49
sweep,-3.42,51.73
sweep,-3.22,51.97
sweep,-3.03,52.20
sweep,-2.84,52.41
sweep,-2.66,52.61
sweep,-2.48,52.80
sweep,-2.31,52.98
sweep,-2.15,53.14
sweep,-1.99,53.31
sweep,-1.84,53.45
sweep,-1.70,53.58
sweep,-1.56,53.71
sweep,-1.44,53.82
sweep,-1.32,53.92
sweep,-1.22,54.02
sweep,-1.12,54.11
sweep,-1.03,54.19
sweep,-0.94,54.25
sweep,-0.87,54.31
sweep,-0.81,54.36
sweep,-0.76,54.41
sweep,-0.72,54.45
sweep,-0.68,54.47
sweep,-0.66,54.49
sweep,-0.64,54.50
sweep,-0.64,54.50
sweep,-20.01,108.20
sweep,-19.75,108.20
sweep,-20.25,108.20
sweep,-19.46,108.20
sweep,-20.67,108.20
sweep,-20.47,108.20
sweep,-19.16,108.20
sweep,-20.85,108.21
sweep,-18.85,108.21
sweep,-21.01,108.21
sweep,-21.15,108.21
sweep,-18.51,108.21
sweep,-21.36,108.22
sweep,-21.26,108.22
sweep,-21.43,108.22
sweep,-21.53,108.23
sweep,-21.52,108.23
sweep,-21.49,108.23
sweep,-18.16,108.23
sweep,-17.79,108.24
sweep,-17.40,108.26
sweep,-16.99,108.28
sweep,-16.57,108.31
sweep,-16.14,108.33
sweep,-15.69,108.37
sweep,-15.23,108.41
sweep,-14.75,108.45
sweep,-14.26,108.51
sweep,-13.76,108.56
sweep,-13.25,108.62
sweep,-12.73,108.70
sweep,-12.21,108.77
sweep,-11.67,108.85
sweep,-11.12,108.94
sweep,-10.57,109.03
sweep,-10.02,109.12
sweep,-9.46,109.23
sweep,-8.89,109.35
sweep,-8.32,109.47
sweep,-7.75,109.58
sweep,-7.17,109.71
sweep,-6.59,109.84
sweep,-6.01,109.98
sweep,-5.43,110.12
sweep,-4.85,110.26
sweep,-4.27,110.41
sweep,-3.69,110.56
sweep,-3.11,110.72
sweep,-2.54,110.87
sweep,-1.96,111.03
sweep,-6.28,315.57
sweep,-5.76,316.06
sweep,-5.26,316.47
sweep,-4.79,316.84
sweep,-4.35,317.15
sweep,-3.93,317.42
sweep,-3.54,317.67
sweep,-3.17,317.89
sweep,-2.82,318.09
sweep,-2.49,318.27
sweep,-2.18,318.44
sweep,-1.89,318.59
sweep,-1.61,318.73
sweep,-1.34,318.86
sweep,-1.09,318.99
sweep,-0.85,319.10
sweep,-0.62,319.21
sweep,-0.41,319.31
sweep,-0.20,319.40
sweep,-0.00,319.49
sweep,0.18,319.57
sweep,0.36,319.64
sweep,0.53,319.71
sweep,0.69,319.78
sweep,0.84,319.84
sweep,0.98,319.90
sweep,1.12,319.96
sweep,1.25,320.01
sweep,1.37,320.06
sweep,1.48,320.11
sweep,1.59,320.15
sweep,1.70,320.19
sweep,1.79,320.22
sweep,1.88,320.26
sweep,1.96,320.29
sweep,2.04,320.32
sweep,2.11,320.35
sweep,2.18,320.38
sweep,2.24,320.40
sweep,2.29,320.41
sweep,2.34,320.44
sweep,2.39,320.45
sweep,2.43,320.47
sweep,2.46,320.48
sweep,2.49,320.48
sweep,2.51,320.50
sweep,2.53,320.50
sweep,2.54,320.51
sweep,2.55,320.51
sweep,2.55,320.51
