# Published eigenvalues of the BRS combustor network model.
# Source: T. Emmert, "Intrinsic Thermoacoustic Feedback of Premixed Flames" (Dr.-Ing.
# dissertation, TU Muenchen), Figure 4.8, the one-to-one counterpart of Figure 7
# of Emmert, Bomberg, Jaensch & Polifke, Proc. Combust. Inst. 36 (2017) 3835-3842.
# The dissertation figure is vector graphics; coordinates are read from the drawing
# commands with the axis gridlines as calibration (residual < 0.01 Hz), so unlike a
# raster digitization the values carry no pixel quantization.
# Growth rate follows the reference's convention sigma/(2*pi) with s = sigma + j*omega.
# 'sweep' points sample the eigenvalue tracks as the outlet reflection is
# lowered from the fully reflective open end (R = -1) to non-reflective (R = 0).
kind,growth_hz,frequency_hz
acoustic-at-full-reflection,-7.78,42.41
acoustic-at-full-reflection,-5.98,315.56
ita-at-full-reflection,-44.48,236.52
ita-at-full-reflection,-26.87,312.27
ita-at-full-reflection,-2.33,109.03
at-zero-reflection,-48.99,272.14
at-zero-reflection,-38.45,217.14
at-zero-reflection,-35.20,-0.01
at-zero-reflection,-27.83,-0.01
at-zero-reflection,22.97,88.53
sweep,-35.11,-0.00
sweep,-35.11,-0.00
sweep,-35.11,-0.00
sweep,-35.10,-0.00
sweep,-35.10,-0.00
sweep,-35.10,-0.00
sweep,-35.10,-0.00
sweep,-35.10,-0.00
sweep,-35.09,-0.00
sweep,-35.09,-0.00
sweep,-35.08,-0.00
sweep,-35.07,-0.00
sweep,-35.06,-0.00
sweep,-35.05,-0.00
sweep,-35.03,-0.00
sweep,-35.00,-0.00
sweep,-34.96,-0.00
sweep,-34.92,-0.00
sweep,-34.85,-0.00
sweep,-34.77,-0.00
sweep,-34.66,-0.00
sweep,-34.50,-0.00
sweep,-34.27,-0.00
sweep,-33.95,-0.00
sweep,-33.44,-0.00
sweep,-32.40,-0.00
sweep,-30.53,-0.00
sweep,-29.46,-0.00
sweep,-28.94,-0.00
sweep,-28.60,-0.00
sweep,-28.37,-0.00
sweep,-28.20,-0.00
sweep,-28.09,-0.00
sweep,-28.00,-0.00
sweep,-27.93,-0.00
sweep,-27.88,-0.00
sweep,-27.84,-0.00
sweep,-27.82,-0.00
sweep,-27.80,-0.00
sweep,-27.78,-0.00
sweep,-27.77,-0.00
sweep,-27.76,-0.00
sweep,-27.75,-0.00
sweep,-27.75,-0.00
sweep,-27.74,-0.00
sweep,-27.74,-0.00
sweep,-27.74,-0.00
sweep,-27.74,-0.00
sweep,-27.73,-0.00
sweep,-27.73,-0.00
sweep,-27.73,-0.00
sweep,-27.73,-0.00
sweep,-27.73,-0.00
sweep,-31.48,1.78
sweep,-31.49,2.92
sweep,-31.52,3.96
sweep,-31.55,5.03
sweep,-31.59,6.17
sweep,-31.63,7.44
sweep,-31.69,8.88
sweep,-31.77,10.54
sweep,-31.85,12.50
sweep,-31.93,14.85
sweep,-31.95,17.76
sweep,-31.95,18.19
sweep,-31.94,18.65
sweep,-31.90,19.79
sweep,-31.80,21.38
sweep,-31.80,21.46
sweep,-31.65,22.98
sweep,-31.41,24.58
sweep,-31.10,26.17
sweep,-31.06,26.33
sweep,-30.68,27.76
sweep,-30.41,28.61
sweep,-30.16,29.33
sweep,-29.52,30.86
sweep,-28.77,32.34
sweep,-28.69,32.48
sweep,-27.90,33.75
sweep,-26.94,35.05
sweep,-26.44,35.64
sweep,-25.90,36.24
sweep,-24.79,37.32
sweep,-23.64,38.28
sweep,-23.22,38.60
sweep,-22.47,39.12
sweep,-21.99,39.43
sweep,-21.30,39.83
sweep,-20.12,40.44
sweep,-18.98,40.95
sweep,-18.39,41.18
sweep,-17.86,41.37
sweep,-15.75,41.96
sweep,-13.84,42.30
sweep,-8.08,42.41
sweep,-8.07,42.41
sweep,-8.07,42.41
sweep,-8.07,42.41
sweep,-8.07,42.41
sweep,-8.07,42.41
sweep,-8.07,42.41
sweep,-8.07,42.41
sweep,-8.07,42.41
sweep,-8.12,42.41
sweep,-8.11,42.41
sweep,-8.10,42.41
sweep,-8.09,42.41
sweep,-8.09,42.41
sweep,-8.08,42.41
sweep,-8.08,42.41
sweep,-8.16,42.42
sweep,-8.14,42.42
sweep,-8.21,42.42
sweep,-8.18,42.42
sweep,-8.25,42.42
sweep,-8.30,42.43
sweep,-8.36,42.43
sweep,-8.44,42.44
sweep,-12.45,42.45
sweep,-8.54,42.45
sweep,-8.66,42.46
sweep,-8.82,42.47
sweep,-9.03,42.48
sweep,-9.30,42.49
sweep,-11.43,42.51
sweep,-9.64,42.51
sweep,-10.66,42.52
sweep,-10.08,42.52
sweep,23.07,88.53
sweep,23.07,88.53
sweep,23.06,88.54
sweep,23.06,88.54
sweep,23.06,88.54
sweep,23.06,88.54
sweep,23.07,88.54
sweep,23.07,88.54
sweep,23.05,88.54
